admin3Name_en,admin3Pcode,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode, Total_pop 
Harnai,PK70701,Harnai,PK707,Balochistan,PK7,Pakistan,PK,97017.00
Haroonabad,PK60204,Bahawalnagar,PK602,Punjab,PK6,Pakistan,PK,525598.00
Hasilpur,PK60302,Bahawalpur,PK603,Punjab,PK6,Pakistan,PK,456006.00
Hassan Abdal,PK60103,Attock,PK601,Punjab,PK6,Pakistan,PK,216566.00
Hassan Khel,PK24301,FR Peshawar,PK243,Khyber Pakhtunkhwa,PK2,Pakistan,PK,64691.00
Hazro,PK60104,Attock,PK601,Punjab,PK6,Pakistan,PK,339238.00
Hub,PK71804,Las Bela,PK718,Balochistan,PK7,Pakistan,PK,203020.00
Hyderabad,PK80401,Hyderabad,PK804,Sindh,PK8,Pakistan,PK,466770.00
Hyderabad City,PK80404,Hyderabad,PK804,Sindh,PK8,Pakistan,PK,755290.00
Isakhel,PK62101,Mianwali,PK621,Punjab,PK6,Pakistan,PK,375026.00
Islamabad,PK50101,Islamabad,PK501,Federal Capital Territory,PK5,Pakistan,PK,2006572.00
Ismailzai,PK23702,Orakzai,PK237,Khyber Pakhtunkhwa,PK2,Pakistan,PK,23965.00
Jacobabad,PK80502,Jacobabad,PK805,Sindh,PK8,Pakistan,PK,382513.00
Jahanian,PK61501,Khanewal,PK615,Punjab,PK6,Pakistan,PK,343361.00
Jalalpur Pirwala,PK62201,Multan,PK622,Punjab,PK6,Pakistan,PK,554152.00
Jampur,PK62902,Rajanpur,PK629,Punjab,PK6,Pakistan,PK,849086.00
Jamrud,PK23302,Khyber,PK233,Khyber Pakhtunkhwa,PK2,Pakistan,PK,228001.00
Jan Nawaz Ali,PK81401,Sanghar,PK814,Sindh,PK8,Pakistan,PK,153342.00
Jand,PK60105,Attock,PK601,Punjab,PK6,Pakistan,PK,295483.00
Jandola,PK24401,FR Tank,PK244,Khyber Pakhtunkhwa,PK2,Pakistan,PK,36389.00
Jaranwala,PK60804,Faisalabad,PK608,Punjab,PK6,Pakistan,PK,1492276.00
Jati,PK82401,Sujawal,PK824,Sindh,PK8,Pakistan,PK,202299.00
Jatoi,PK62302,Muzaffargarh,PK623,Punjab,PK6,Pakistan,PK,714576.00
Jhal Jao,PK70102,Awaran,PK701,Balochistan,PK7,Pakistan,PK,40033.00
Jhal Magsi,PK70902,Jhal Magsi,PK709,Balochistan,PK7,Pakistan,PK,88575.00
Jhang,PK61202,Jhang,PK612,Punjab,PK6,Pakistan,PK,1761273.00
Jhat Pat,PK70802,Jaffarabad,PK708,Balochistan,PK7,Pakistan,PK,252611.00
Jhelum,PK61302,Jhelum,PK613,Punjab,PK6,Pakistan,PK,445190.00
Jhuddo,PK81202,Mirpur Khas,PK812,Sindh,PK8,Pakistan,PK,202228.00
Jiwani,PK70602,Gwadar,PK706,Balochistan,PK7,Pakistan,PK,26991.00
Johi,PK80202,Dadu,PK802,Sindh,PK8,Pakistan,PK,294848.00
Kabal,PK22205,Swat,PK222,Khyber Pakhtunkhwa,PK2,Pakistan,PK,420374.00
Kabirwala,PK61502,Khanewal,PK615,Punjab,PK6,Pakistan,PK,959861.00
Kahan,PK71701,Kohlu,PK717,Balochistan,PK7,Pakistan,PK,73981.00
Kahror Pacca,PK61902,Lodhran,PK619,Punjab,PK6,Pakistan,PK,500939.00
Kahuta,PK63002,Rawalpindi,PK630,Punjab,PK6,Pakistan,PK,220576.00
Kairpur Tamewali,PK60303,Bahawalpur,PK603,Punjab,PK6,Pakistan,PK,262628.00
Kakar Khurasan,PK73001,Zhob,PK730,Balochistan,PK7,Pakistan,PK,56912.00
Kalam,PK22206,Swat,PK222,Khyber Pakhtunkhwa,PK2,Pakistan,PK,149084.00
Kalat,PK71001,Kalat,PK710,Balochistan,PK7,Pakistan,PK,211480.00
Kalkot,PK23003,Upper Dir,PK230,Khyber Pakhtunkhwa,PK2,Pakistan,PK,131873.00
Kallar Kahar,PK60503,Chakwal,PK605,Punjab,PK6,Pakistan,PK,169660.00
Kallar Sayedan,PK63003,Rawalpindi,PK630,Punjab,PK6,Pakistan,PK,217273.00
