admin3Name_en,admin3Pcode,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode, Total_pop 
Samaro,PK82303,Umerkot,PK823,Sindh,PK8,Pakistan,PK,170288.00
Sambrial,PK63403,Sialkot,PK634,Punjab,PK6,Pakistan,PK,411200.00
Sangan,PK72803,Sibi,PK728,Balochistan,PK7,Pakistan,PK,2665.00
Sanghar,PK81403,Sanghar,PK814,Sindh,PK8,Pakistan,PK,434087.00
Sangla Hill,PK62403,Nankana Sahib,PK624,Punjab,PK6,Pakistan,PK,227630.00
Sanni,PK71103,Kachhi,PK711,Balochistan,PK7,Pakistan,PK,111290.00
Sarai Alamgir,PK61003,Gujrat,PK610,Punjab,PK6,Pakistan,PK,247333.00
Sarai Naurang,PK21302,Lakki Marwat,PK213,Khyber Pakhtunkhwa,PK2,Pakistan,PK,296908.00
Sararogha,PK23804,South Waziristan,PK238,Khyber Pakhtunkhwa,PK2,Pakistan,PK,98389.00
Sargodha,PK63204,Sargodha,PK632,Punjab,PK6,Pakistan,PK,1537866.00
Sehwan,PK80602,Jamshoro,PK806,Sindh,PK8,Pakistan,PK,269291.00
Serwekai,PK23805,South Waziristan,PK238,Khyber Pakhtunkhwa,PK2,Pakistan,PK,54278.00
Shah Bander,PK82404,Sujawal,PK824,Sindh,PK8,Pakistan,PK,159887.00
Shahdadkot,PK81503,Qambar Shahdadkot,PK815,Sindh,PK8,Pakistan,PK,202745.00
Shahdadpur,PK81404,Sanghar,PK814,Sindh,PK8,Pakistan,PK,457551.00
Shaheed Fazal Rahu,PK80103,Badin,PK801,Sindh,PK8,Pakistan,PK,506951.00
Shahkot,PK62404,Nankana Sahib,PK624,Punjab,PK6,Pakistan,PK,244868.00
Shahpur,PK63205,Sargodha,PK632,Punjab,PK6,Pakistan,PK,353969.00
Shakargarh,PK62502,Narowal,PK625,Punjab,PK6,Pakistan,PK,893708.00
Sharqpur,PK63303,Sheikhupura,PK633,Punjab,PK6,Pakistan,PK,197220.00
Sheerani,PK72701,Sheerani,PK727,Balochistan,PK7,Pakistan,PK,153116.00
Sheikhupura,PK63304,Sheikhupura,PK633,Punjab,PK6,Pakistan,PK,1555424.00
Shewa,PK23608,North Waziristan,PK236,Khyber Pakhtunkhwa,PK2,Pakistan,PK,39349.00
Shikarpur,PK81704,Shikarpur,PK817,Sindh,PK8,Pakistan,PK,391172.00
Shinkai,PK71606,Killa Saifullah,PK716,Balochistan,PK7,Pakistan,PK,55351.00
Shorkot,PK61203,Jhang,PK612,Punjab,PK6,Pakistan,PK,548626.00
Shuabad,PK62204,Multan,PK622,Punjab,PK6,Pakistan,PK,609631.00
Sialkot,PK63404,Sialkot,PK634,Punjab,PK6,Pakistan,PK,1794658.00
Sibi,PK72804,Sibi,PK728,Balochistan,PK7,Pakistan,PK,125320.00
Sillanwali,PK63206,Sargodha,PK632,Punjab,PK6,Pakistan,PK,344465.00
Sinjawi,PK73101,Ziarat,PK731,Balochistan,PK7,Pakistan,PK,92561.00
Sinjhoro,PK81405,Sanghar,PK814,Sindh,PK8,Pakistan,PK,320874.00
Sobodhero,PK80908,Khairpur,PK809,Sindh,PK8,Pakistan,PK,274428.00
Sohawa,PK61304,Jhelum,PK613,Punjab,PK6,Pakistan,PK,201948.00
Sohbatpur,PK73301,Sohbatpur,PK733,Balochistan,PK7,Pakistan,PK,200538.00
Sonmiani,PK71808,Las Bela,PK718,Balochistan,PK7,Pakistan,PK,64392.00
Spinwam,PK23609,North Waziristan,PK236,Khyber Pakhtunkhwa,PK2,Pakistan,PK,46183.00
Sui,PK70503,Dera Bugti,PK705,Balochistan,PK7,Pakistan,PK,137950.00
Sujawal,PK82405,Sujawal,PK824,Sindh,PK8,Pakistan,PK,198587.00
Sukkur,PK81804,Sukkur,PK818,Sindh,PK8,Pakistan,PK,551357.00
Summundari,PK60805,Faisalabad,PK608,Punjab,PK6,Pakistan,PK,643068.00
Surab,PK71002,Kalat,PK710,Balochistan,PK7,Pakistan,PK,200752.00
Swabi,PK22102,Swabi,PK221,Khyber Pakhtunkhwa,PK2,Pakistan,PK,698180.00
Swat Ranizai,PK21502,Malakand PA,PK215,Khyber Pakhtunkhwa,PK2,Pakistan,PK,416183.00
Taftan,PK70403,Chagai,PK704,Balochistan,PK7,Pakistan,PK,18510.00
Takht Bhai,PK21703,Mardan,PK217,Khyber Pakhtunkhwa,PK2,Pakistan,PK,626523.00
Takht E Nasrati,PK21003,Karak,PK210,Khyber Pakhtunkhwa,PK2,Pakistan,PK,257137.00
Talagang,PK60504,Chakwal,PK605,Punjab,PK6,Pakistan,PK,527500.00
Tall,PK20802,Hangu,PK208,Khyber Pakhtunkhwa,PK2,Pakistan,PK,248503.00
Tamboo,PK72204,Nasirabad,PK722,Balochistan,PK7,Pakistan,PK,131168.00
Tandlianwala,PK60806,Faisalabad,PK608,Punjab,PK6,Pakistan,PK,702733.00
Tando Adam,PK81406,Sanghar,PK814,Sindh,PK8,Pakistan,PK,357919.00
Tando Allah Yar,PK81901,Tando Allah Yar,PK819,Sindh,PK8,Pakistan,PK,836887.00
Tando Bago,PK80104,Badin,PK801,Sindh,PK8,Pakistan,PK,398858.00
Tando Ghulam Hyder,PK82002,Tando Muhammad Khan,PK820,Sindh,PK8,Pakistan,PK,184653.00
Tando Muhammad Khan,PK82001,Tando Muhammad Khan,PK820,Sindh,PK8,Pakistan,PK,255662.00
Tangi,PK20502,Charsadda,PK205,Khyber Pakhtunkhwa,PK2,Pakistan,PK,428239.00
Tangwani,PK80803,Kashmore,PK808,Sindh,PK8,Pakistan,PK,287710.00
Tank,PK22901,Tank,PK229,Khyber Pakhtunkhwa,PK2,Pakistan,PK,391885.00
Taunsa,PK60703,Dera Ghazi Khan,PK607,Punjab,PK6,Pakistan,PK,675756.00
Taxila,PK63007,Rawalpindi,PK630,Punjab,PK6,Pakistan,PK,677951.00
Thano Bula Khan,PK80603,Jamshoro,PK806,Sindh,PK8,Pakistan,PK,145450.00
Thatta,PK82209,Thatta,PK822,Sindh,PK8,Pakistan,PK,406063.00
Thul,PK80503,Jacobabad,PK805,Sindh,PK8,Pakistan,PK,465424.00
Tiarza,PK23806,South Waziristan,PK238,Khyber Pakhtunkhwa,PK2,Pakistan,PK,45210.00
Timergara,PK21402,Lower Dir,PK214,Khyber Pakhtunkhwa,PK2,Pakistan,PK,1057309.00
Toba Tek Singh,PK63503,Toba Tek Singh,PK635,Punjab,PK6,Pakistan,PK,1162157.00
Toi Khulla,PK23807,South Waziristan,PK238,Khyber Pakhtunkhwa,PK2,Pakistan,PK,50593.00
Topi,PK22103,Swabi,PK221,Khyber Pakhtunkhwa,PK2,Pakistan,PK,328300.00
Tor Ghar,PK23101,Tor Ghar,PK231,Khyber Pakhtunkhwa,PK2,Pakistan,PK,171395.00
Totalai,PK20406,Buner,PK204,Khyber Pakhtunkhwa,PK2,Pakistan,PK,59092.00
Tump,PK71206,Kech,PK712,Balochistan,PK7,Pakistan,PK,146286.00
Ubauro,PK80305,Ghotki,PK803,Sindh,PK8,Pakistan,PK,353289.00
Umerkot,PK82304,Umerkot,PK823,Sindh,PK8,Pakistan,PK,564394.00
Upper Kurram,PK23403,Kurram,PK234,Khyber Pakhtunkhwa,PK2,Pakistan,PK,253478.00
Upper Momand,PK23506,Mohmand,PK235,Khyber Pakhtunkhwa,PK2,Pakistan,PK,51068.00
Upper Orakzai,PK23704,Orakzai,PK237,Khyber Pakhtunkhwa,PK2,Pakistan,PK,63872.00
Usta Muhammad,PK70804,Jaffarabad,PK708,Balochistan,PK7,Pakistan,PK,186226.00
Uthal,PK71809,Las Bela,PK718,Balochistan,PK7,Pakistan,PK,72526.00
Utman Khel Tehsil,PK23207,Bajaur,PK232,Khyber Pakhtunkhwa,PK2,Pakistan,PK,107356.00
Vehari,PK63603,Vehari,PK636,Punjab,PK6,Pakistan,PK,928166.00
Wadh,PK71403,Khuzdar,PK714,Balochistan,PK7,Pakistan,PK,176039.00
Wana,PK23808,South Waziristan,PK238,Khyber Pakhtunkhwa,PK2,Pakistan,PK,152881.00
Warah,PK81504,Qambar Shahdadkot,PK815,Sindh,PK8,Pakistan,PK,229971.00
Wari,PK23004,Upper Dir,PK230,Khyber Pakhtunkhwa,PK2,Pakistan,PK,321807.00
Washuk,PK72904,Washuk,PK729,Balochistan,PK7,Pakistan,PK,35244.00
Wazir,PK23901,FR Bannu,PK239,Khyber Pakhtunkhwa,PK2,Pakistan,PK,43114.00
Wazirabad,PK60904,Gujranwala,PK609,Punjab,PK6,Pakistan,PK,830396.00
Yaka Ghund,PK23507,Mohmand,PK235,Khyber Pakhtunkhwa,PK2,Pakistan,PK,52291.00
Yazman,PK60304,Bahawalpur,PK603,Punjab,PK6,Pakistan,PK,614143.00
Zehri,PK71404,Khuzdar,PK714,Balochistan,PK7,Pakistan,PK,102129.00
Zhob,PK73002,Zhob,PK730,Balochistan,PK7,Pakistan,PK,253632.00
Ziarat,PK73102,Ziarat,PK731,Balochistan,PK7,Pakistan,PK,67861.00
